No,nama_barang,kode_barang,golongan,bidang,kelompok,sub_kelompok,rincian_objek
3928,Ear Curretes,1.3.2.07.01.06.050,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN THT
3929,Ear Dresing Forcep,1.3.2.07.01.06.051,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN THT
3930,Ear Hook Jensen,1.3.2.07.01.06.052,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN THT
3931,Ear Spoon,1.3.2.07.01.06.053,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN THT
3932,Ear Syring Kaca,1.3.2.07.01.06.054,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN THT
3933,Echeel Cair (Englau) (PPM),1.3.2.07.01.06.055,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN THT
3934,Elevator-Langenbeck,1.3.2.07.01.06.056,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN THT
3935,Endaural Curretes,1.3.2.07.01.06.057,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN THT
3936,Endoscopy Set,1.3.2.07.01.06.058,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN THT
3937,Entradmen Mint U 402/Yasju (PPM),1.3.2.07.01.06.059,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN THT
3938,Entreatmen Unit Pretty Model (Daichi),1.3.2.07.01.06.060,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN THT
3939,Excophagual Disposible Stetescope,1.3.2.07.01.06.061,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN THT
3940,Galibrator,1.3.2.07.01.06.062,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN THT
3941,Haak Hidung,1.3.2.07.01.06.063,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN THT
3942,Hand Dail Foat With 6 Pers Bumr 220 Volt,1.3.2.07.01.06.064,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN THT
3943,Head Lamp (Alat Kedokteran THT),1.3.2.07.01.06.065,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN THT
3944,Impedance Meter,1.3.2.07.01.06.066,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN THT
3945,Irrigating Trocar,1.3.2.07.01.06.067,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN THT
3946,Kaca Larynx,1.3.2.07.01.06.068,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN THT
3947,Kidney Tary Inok,1.3.2.07.01.06.069,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN THT
3948,Kikir Tulang Nasal,1.3.2.07.01.06.070,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN THT
3949,Killian,1.3.2.07.01.06.071,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN THT
3950,Knife Hand,1.3.2.07.01.06.072,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN THT
3951,Laringos 4 Beadeomin Lookzeeter,1.3.2.07.01.06.073,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN THT
3952,Laringos Spatale 5380 And 133/mm,1.3.2.07.01.06.074,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN THT
3953,Mansifeder Defis,1.3.2.07.01.06.075,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN THT
3954,Meadlight Halogen/Welak Allyn Usa (PPM),1.3.2.07.01.06.076,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN THT
3955,Mikro Curitage,1.3.2.07.01.06.077,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN THT
3956,Mikro Laringoscopy,1.3.2.07.01.06.078,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN THT
3957,Mikro Respatorium,1.3.2.07.01.06.079,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN THT
3958,Modulas Monitoring System,1.3.2.07.01.06.080,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN THT
3959,Mough Gags/With Head,1.3.2.07.01.06.081,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN THT
3960,Mouth Speder (Devis),1.3.2.07.01.06.082,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN THT
3961,Muadiatias Cape Benatoal (Loka),1.3.2.07.01.06.083,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN THT
3962,Myringotomy Set,1.3.2.07.01.06.084,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN THT
3963,Nasal Canule Adsen,1.3.2.07.01.06.085,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN THT
3964,Nasal Polypus Snare,1.3.2.07.01.06.086,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN THT
3965,Nasal Specula Sederhana,1.3.2.07.01.06.087,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN THT
3966,Nasal Speculum,1.3.2.07.01.06.088,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN THT
3967,Nashopharynx Spigel,1.3.2.07.01.06.089,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN THT
3968,Nosofaringoscope,1.3.2.07.01.06.090,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN THT
3969,Neus Speculum,1.3.2.07.01.06.091,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN THT
3970,Oesephaguscopy,1.3.2.07.01.06.092,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN THT
3971,Operating Theter Light Antsrshi,1.3.2.07.01.06.093,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN THT
3972,Otoscope Halogen Lamp,1.3.2.07.01.06.094,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN THT
3973,Patologie Eqmopmanet,1.3.2.07.01.06.095,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN THT
3974,Perios Patorium,1.3.2.07.01.06.096,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN THT
3975,Pinset Hidung,1.3.2.07.01.06.097,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN THT
3976,Pinset Telinga,1.3.2.07.01.06.098,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN THT
3977,Polyplis,1.3.2.07.01.06.099,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN THT
3978,Portable Microwave Therapy,1.3.2.07.01.06.100,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN THT
3979,Repatorium,1.3.2.07.01.06.101,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN THT
3980,Respatorium Dipal Lurus/Lengkung,1.3.2.07.01.06.102,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN THT
3981,Retractor Opula,1.3.2.07.01.06.103,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN THT
3982,Rhinos Plastik,1.3.2.07.01.06.104,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN THT
3983,Rhinoscopy Mirror,1.3.2.07.01.06.105,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN THT
3984,Rinaural Stetoscope,1.3.2.07.01.06.106,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN THT
3985,Set Canule Besar,1.3.2.07.01.06.107,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN THT
3986,Septo Plastik,1.3.2.07.01.06.108,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN THT
3987,Septo Respetorium,1.3.2.07.01.06.109,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN THT
3988,Septum Forcep,1.3.2.07.01.06.110,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN THT
3989,Septum Respetorium,1.3.2.07.01.06.111,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN THT
3990,Septum Straightening,1.3.2.07.01.06.112,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN THT
3991,Single Famier Hapares Cape,1.3.2.07.01.06.113,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN THT
3992,Sinoscopy Trocar,1.3.2.07.01.06.114,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN THT
3993,Sluder Balinger,1.3.2.07.01.06.115,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN THT
3994,Specullum Retractor Nasal,1.3.2.07.01.06.116,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN THT
3995,Speculum Klian,1.3.2.07.01.06.117,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN THT
3996,Speculum Telinga,1.3.2.07.01.06.118,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN THT
3997,Spoon Telinga,1.3.2.07.01.06.119,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN THT
3998,Stroboscopy Unit,1.3.2.07.01.06.120,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN THT
3999,Tang Bright,1.3.2.07.01.06.121,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN THT
4000,Teaching Cape M 12 M,1.3.2.07.01.06.122,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN THT
4001,Telescope (Alat Kedokteran Tht),1.3.2.07.01.06.123,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN THT
4002,THT Examination Set For Tl Hindra Laringos Cape 847635,1.3.2.07.01.06.124,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN THT
4003,Mangisco 445057 Sicope Biner 845901 (Walf),1.3.2.07.01.06.125,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN THT
4004,Tonsil Artery Forcep,1.3.2.07.01.06.126,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN THT
4005,Tonsil Dissecting,1.3.2.07.01.06.127,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN THT
4006,Tonsil Dissector/Henke,1.3.2.07.01.06.128,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN THT
4007,Tonsil Klem/Mess/Biasa,1.3.2.07.01.06.129,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN THT
4008,Tonsil Knife,1.3.2.07.01.06.130,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN THT
4009,Tonsil Seizing Forcep,1.3.2.07.01.06.131,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN THT
4010,Tonsil Snare/EVES,1.3.2.07.01.06.132,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN THT
4011,Tonsil Suction Tube,1.3.2.07.01.06.133,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN THT
4012,Tounge Depressor,1.3.2.07.01.06.134,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN THT
4013,Trachea Canula (Alat Kedokteran Tht),1.3.2.07.01.06.135,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN THT
4014,Trachea Retractor Bergigi (1,2,3,4,5,6),1.3.2.07.01.06.136,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN THT
4015,Tracheal Tubes Luer,1.3.2.07.01.06.137,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN THT
4016,Tracheotomy Set (Alat Kedokteran Tht),1.3.2.07.01.06.138,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN THT
4017,Troeitsch,1.3.2.07.01.06.139,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN THT
4018,Troicart (Alat Kedokteran Tht),1.3.2.07.01.06.140,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN THT
4019,Tuning Fork,1.3.2.07.01.06.141,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN THT
4020,Tuning Fork Set,1.3.2.07.01.06.142,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN THT
4021,Tympanogram,1.3.2.07.01.06.143,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN THT
4022,Tympanum Perdrotors Saver,1.3.2.07.01.06.144,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN THT
4023,Water Drages,1.3.2.07.01.06.145,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN THT
4024,X-Ray Viewer,1.3.2.07.01.06.146,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN THT
4025,alat kedokteran tht  lainnya (dst),1.3.2.07.01.06.147,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN THT
4026,Eye Operation Set,1.3.2.07.01.07.001,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN MATA
4027,Skiascopy Lamp,1.3.2.07.01.07.002,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN MATA
4028,Aplanation Tonometer,1.3.2.07.01.07.003,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN MATA
4029,Ophthalmometer,1.3.2.07.01.07.004,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN MATA
4030,Three Mirror Contact Lenses,1.3.2.07.01.07.005,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN MATA
4031,Opthalmoscope Suppy 220 V And Transformer,1.3.2.07.01.07.006,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN MATA
4032,Double Convaxoconcave Skiascope,1.3.2.07.01.07.007,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN MATA
4033,Keeler Retinoscope,1.3.2.07.01.07.008,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN MATA
4034,Lens Magnifier 15 DPTR,1.3.2.07.01.07.009,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN MATA
4035,Set Of Trial Lensess In Case With Trial Frame,1.3.2.07.01.07.010,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN MATA
4036,Lensometer,1.3.2.07.01.07.011,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN MATA
4037,Bio Microscope (Slit Lamp),1.3.2.07.01.07.012,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN MATA
4038,Bailiart Dynamometer,1.3.2.07.01.07.013,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN MATA
4039,Esthesiometer,1.3.2.07.01.07.014,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN MATA
4040,Campimeter And Lancaster Screen With 4 Striks,1.3.2.07.01.07.015,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN MATA
4041,Holmes Steres Cope,1.3.2.07.01.07.016,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN MATA
4042,Amsler Chart,1.3.2.07.01.07.017,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN MATA
4043,Ishiaras Atlas,1.3.2.07.01.07.018,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN MATA
4044,Stereo Tes From Holmes,1.3.2.07.01.07.019,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN MATA
4045,Berens Prima Set,1.3.2.07.01.07.020,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN MATA
4046,Eye Occulder,1.3.2.07.01.07.021,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN MATA
4047,Maddox With Handle,1.3.2.07.01.07.022,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN MATA
4048,Schuman Magnet Handtype,1.3.2.07.01.07.023,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN MATA
4049,Examination Table Adjustable Headrest,1.3.2.07.01.07.024,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN MATA
4050,Cautery Light Transformer With Handle And 3 Cautery Needles.,1.3.2.07.01.07.025,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN MATA
4051,Two Step Stand,1.3.2.07.01.07.026,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN MATA
4052,Maddox Crass,1.3.2.07.01.07.027,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN MATA
4053,Opthalmoscope Binocyular Indirect Vision,1.3.2.07.01.07.028,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN MATA
4054,Gonioscope Complete In Case,1.3.2.07.01.07.029,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN MATA
4055,Refractometer (Alat Kedokteran Mata),1.3.2.07.01.07.030,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN MATA
4056,Retinoscope,1.3.2.07.01.07.031,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN MATA
4057,Opthalmoscope,1.3.2.07.01.07.032,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN MATA
4058,Slit Lamp (Alat Kedokteran Mata),1.3.2.07.01.07.033,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN MATA
4059,Lensa Meter,1.3.2.07.01.07.034,ASET TETAP,PERALATAN DAN MESIN,ALAT KEDOKTERAN DAN KESEHATAN,ALAT KEDOKTERAN,ALAT KEDOKTERAN MATA
